report_date,SI_High,SI_Mean,SI_Low,Brent_Crude_Oil_High,Brent_Crude_Oil_Low
2017-01-02,0,0,0,57,53.58
2017-01-09,0,0,0,56.95,53.77
2017-01-16,0,0,0,56.55,54.65
2017-01-23,0,0,0,57.45,54.9
2017-01-30,0,0,0,57.13,54.44
2017-02-06,0,0,0,56.81,55.1
2017-02-13,0,0,0,57.31,55.64
2017-02-20,0,0,0,57.05,55.03
2017-02-27,0,0,0,56.65,51.14
2017-03-06,0,0,0,52.65,50.25
2017-03-13,0,0,0,52.22,49.71
2017-03-20,0,0,0,53.45,50.03
2017-03-27,0,0,0,56.08,52.73
2017-04-03,0,0,0,56.65,55.19
2017-04-10,0,0,0,55.98,51.57
2017-04-17,0,0,0,52.57,50.45
2017-04-24,0,0,0,52.16,46.64
2017-05-01,0,0,0,51.16,48.39
2017-05-08,0,0,0,53.82,50.74
2017-05-15,0,0,0,54.67,50.71
2017-05-22,0,0,0,52.61,48.95
2017-05-29,0,0,0,50.74,47.4
2017-06-05,0,0,0,49.15,46.7
2017-06-12,0,0,0,47.76,44.35
2017-06-19,0,0,0,48.12,45.04
2017-06-26,0,0,0,49.9,46.28
2017-07-03,0,0,0,49.11,46.11
2017-07-10,0,0,0,50.19,47.81
2017-07-17,0,0,0,52.7,47.68
2017-07-24,0,0,0,52.93,50.88
2017-07-31,0,0,0,53.64,51.3
2017-08-07,0,0,0,52.96,50
2017-08-14,0,0,0,53,51.3
2017-08-21,0,0,0,52.95,50.56
2017-08-28,0,0,0,54.87,51.99
2017-09-04,0,0,0,55.99,53.04
2017-09-11,0,0,0,56.91,54.82
2017-09-18,0,0,0,59.49,56.7
2017-09-25,0,0,0,57.28,55.13
2017-10-02,0,0,0,57.57,55.06
2017-10-09,0,0,0,58.54,56.6
2017-10-16,0,0,0,60.65,57.04
2017-10-23,0,0,0,62.23,60
2017-10-30,0,0,0,64.65,62.08
2017-11-06,0,0,0,63.77,61.08
2017-11-13,0,0,0,63.95,61.44
2017-11-20,0,0,0,64.32,62.5
2017-11-27,0,0,0,63.68,61.13
2017-12-04,0,0,0,65.83,62.01
2017-12-11,0,0,0,65.28,63
2017-12-18,0,0,0,67.1,65
2017-12-25,0,0,0,68.27,66.24
2018-01-01,0,0,0,70.05,67.44
2018-01-08,0,0,0,70.37,68.28
2018-01-15,0,0,0,71.28,68.39
2018-01-22,0,0,0,70.64,67.96
2018-01-29,0,0,0,68.46,61.77
2018-02-05,0,0,0,65.22,61.76
2018-02-12,0,0,0,67.37,64.4
2018-02-19,0,0,0,67.9,63.19
2018-02-26,0,0,0,66.16,63.43
2018-03-05,0,0,0,66.42,64.05
2018-03-12,0,0,0,70.57,65.39
2018-03-19,0,0,0,71.05,68.78
2018-03-26,0,0,0,70.04,66.69
2018-04-02,0,0,0,73.09,67
2018-04-09,0,0,0,74.75,70.83
2018-04-16,0,0,0,75.47,73.13
2018-04-23,0,0,0,75.41,72.38
2018-04-30,0,0,0,78,73.1
2018-05-07,0,0,0,80.5,76.55
2018-05-14,0,0,0,80.49,76.01
2018-05-21,0,0,0,78.75,74.49
2018-05-28,0,0,0,77.61,73.81
2018-06-04,0,0,0,77.07,73
2018-06-11,0,0,0,75.86,72.45
2018-06-18,0,0,0,79.7,73.74
2018-06-25,0,0,0,78.95,76.36
2018-07-02,0,0,0,79.51,72.67
2018-07-09,0,0,0,75.37,71.19
2018-07-16,0,0,0,74.85,72.52
2018-07-23,0,0,0,75.27,71.84
2018-07-30,0,0,0,74.9,71.4
2018-08-06,0,0,0,73.93,70.3
2018-08-13,0,0,0,76.42,71.42
2018-08-20,0,0,0,78.03,75.39
2018-08-27,0,0,0,79.72,75.64
2018-09-03,0,0,0,80.13,76.9
2018-09-10,0,0,0,80.12,77.46
2018-09-17,0,0,0,82.87,78.97
2018-09-24,0,0,0,86.74,82.55
2018-10-01,0,0,0,85.45,79.23
2018-10-08,0,0,0,81.92,78.69
2018-10-15,0,0,0,80.41,75.11
2018-10-22,0,0,0,78.03,72.16
2018-10-29,0,0,0,74.13,69.13
2018-11-05,0,0,0,71.88,64.61
2018-11-12,0,0,0,67.64,58.41
2018-11-19,0,0,0,61.4,57.5
2018-11-26,0,0,0,63.73,58.36
2018-12-03,0,0,0,62.33,59.33
2018-12-10,0,0,0,61.21,52.79
2018-12-17,0,0,0,55.29,49.93
2018-12-24,0,0,0,58.31,52.51
2018-12-31,0,0,0,62.49,57.13
2019-01-07,0,0,0,63,58.9
2019-01-14,0,0,0,63.15,60.21
2019-01-21,0,0,0,62.97,59.49
2019-01-28,0,0,0,63.63,60.6
2019-02-04,0,0,0,66.39,60.9
2019-02-11,0,0,0,67.73,65.58
2019-02-18,0,0,0,67.47,64.32
2019-02-25,0,0,0,67,64.02
2019-03-04,0,0,0,68.14,65.63
2019-03-11,0,0,0,68.69,66.2
2019-03-18,0,0,0,68.89,66.36
2019-03-25,0,0,0,70.48,67.58
2019-04-01,0,0,0,71.87,70.3
2019-04-08,0,0,0,72.27,70.74
2019-04-15,0,0,0,75.6,71.3
2019-04-22,0,0,0,73.27,69.68
2019-04-29,0,0,0,71.79,68.79
2019-05-06,0,0,0,73.36,69.72
2019-05-13,0,0,0,73.4,67.02
2019-05-20,0,0,0,70.59,64.37
2019-05-27,0,0,0,63.59,59.45
2019-06-03,0,0,0,64.1,59.57
2019-06-10,0,0,0,65.76,60.25
2019-06-17,0,0,0,66.85,64.08
2019-06-24,0,0,0,66.75,62.09
2019-07-01,0,0,0,67.65,63.76
2019-07-08,0,0,0,67.47,61.29
2019-07-15,0,0,0,64.66,62.59
2019-07-22,0,0,0,65.42,60.02
2019-07-29,0,0,0,61.56,55.88
2019-08-05,0,0,0,61.5,57.67
2019-08-12,0,0,0,61.41,58.3
2019-08-19,0,0,0,61.19,58.24
2019-08-26,0,0,0,62.4,57.23
2019-09-02,0,0,0,63.78,58.92
2019-09-09,0,0,0,71.95,63.04
2019-09-16,0,0,0,65.5,60.76
2019-09-23,0,0,0,62.24,56.15
2019-09-30,0,0,0,60.69,57.38
2019-10-07,0,0,0,60.73,58
2019-10-14,0,0,0,62.11,58.26
2019-10-21,0,0,0,62.34,59.4
2019-10-28,0,0,0,63.32,60.66
2019-11-04,0,0,0,63.65,61.22
2019-11-11,0,0,0,64.27,60.3
2019-11-18,0,0,0,64.6,62.36
2019-11-25,0,0,0,64.88,60.3
2019-12-02,0,0,0,65.79,63.01
2019-12-09,0,0,0,66.78,64.88
2019-12-16,0,0,0,68.33,65.81
2019-12-23,4.63,0,0.07924646782,69.5,65.63
2019-12-30,9.26,0,0.1584929356,71.75,64.56
2020-01-06,13.89,0,0.2377394035,65.6,63.55
2020-01-13,13.89,0,0.3844879944,66,60.25
2020-01-20,69.91,5.56,1.854897143,60.62,57.71
2020-01-27,77.31,11.11,4.861571739,56.77,53.69
2020-02-03,77.31,19.44,7.145761905,57.53,53.11
2020-02-10,75.46,19.718,7.935698413,60,56.3
2020-02-17,75.46,19.718,8.46802381,57.86,50.05
2020-02-24,81.02,25,10.75038095,53.9,45.18
2020-03-02,81.02,41.7625,14.14973016,39.7,31.02
2020-03-09,83.33,45.4625,24.50994444,35.84,24.52
2020-03-16,100,79.193,51.07393651,28.65,24.13
2020-03-23,100,94.44,68.82622222,36.29,21.65
2020-03-30,100,96.3,76.94873016,36.4,30.03
2020-04-06,100,96.346,79.17318254,33.99,27.16
2020-04-13,100,96.346,79.94669048,28.25,15.98
2020-04-20,100,96.3,78.99385714,27.88,18.73
2020-04-27,100,96.3,78.28692063,32.27,25.5
2020-05-04,100,96.3,76.05723016,32.91,28.86
2020-05-11,100,96.3,74.09069841,36.98,32.69
2020-05-18,100,96.3,72.01784921,36.68,33.62
2020-05-25,100,92.59,70.57630952,42.48,37.18
2020-06-01,100,89.8565,67.15507937,43.41,37.01
2020-06-08,100,88.936,64.80350794,42.92,37.24
2020-06-15,100,88.89,62.99111905,43.93,39.47
2020-06-22,96.3,88.89,61.67519841,43.23,40.04
2020-06-29,96.3,88.0525,60.22321429,43.71,41.32
2020-07-06,96.3,89.81,59.39075397,43.85,41.8
2020-07-13,96.3,89.81,58.85730159,44.89,42.36
2020-07-20,100,88.0525,58.10733333,43.95,41.38
2020-07-27,96.3,87.086,57.67263492,46.23,42.89
2020-08-03,96.3,87.086,58.06733333,45.79,44.37
2020-08-10,97.22,87.04,58.25399206,45.55,43.59
2020-08-17,97.22,87.04,57.91109524,46.1,44.29
2020-08-24,97.22,85.673,57.75571429,46.53,42.3
2020-08-31,97.22,85.236,56.41945238,42.43,39.31
2020-09-07,100,85.236,55.57054762,43.8,39.3
2020-09-14,100,82.4795,55.12253175,43.3,40.96
2020-09-21,87.96,81.5265,54.34665079,42.62,38.79
2020-09-28,87.96,81.5265,53.75156349,43.57,39.14
2020-10-05,87.96,81.48,53.2126746,43.48,41.36
2020-10-12,87.96,80.583,52.47650794,43.3,41.45
2020-10-19,87.5,80.09,52.6808254,41.63,36.64
2020-10-26,87.96,78.7695,52.83296032,41.53,35.74
2020-11-02,87.5,79.63,53.17475397,45.3,39.46
2020-11-09,87.96,79.63,53.73236508,45.24,42.71
2020-11-16,87.04,81.48,54.35602381,49.09,44.89
2020-11-23,87.96,81.48,54.58093651,49.92,46.82
